id,lon,lat,name,address,road,class,createtime,updatetime
1,114.361293,30.524467,武汉大学南门,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/求是二路,门,2017-07-12 15:45:54,2017-07-20 09:20:59
2,114.361323,30.525075,友谊广场,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/求是二路,广场,2017-07-12 15:47:02,2017-07-20 09:20:54
3,114.362096,30.525229,教学实验大楼,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路,其他建筑物,2017-07-12 15:47:48,2017-07-20 09:20:49
4,114.362096,30.525846,测绘学院,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/北京路,教学楼,2017-07-12 15:48:39,2017-07-20 09:20:24
5,114.361437,30.526428,信息学部1号教学楼,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/求是二路/,教学楼,2017-07-12 15:50:00,2017-07-20 09:20:15
6,114.362135,30.526874,大学生活动中心,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/星湖南路,其他建筑物,2017-07-12 15:50:46,2017-07-20 09:20:09
8,114.361332,30.528727,信息学部图书馆,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/求是二路/求是大道/,图书馆,2017-07-12 15:52:15,2017-07-20 09:20:01
9,114.361977,30.529927,青年楼,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是一路/求是大道,其他建筑物,2017-07-12 15:52:57,2017-07-20 09:19:57
10,114.360569,30.525396,资源与环境科学学院,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/新疆路,教学楼,2017-07-12 15:53:42,2017-07-20 09:14:51
11,114.360563,30.525846,遥感信息工程学院,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/北京路,教学楼,2017-07-12 15:55:02,2017-07-20 09:14:42
13,114.360491,30.526874,测绘遥感信息工程国家重点实验室,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/星湖南路,其他建筑物,2017-07-12 16:04:51,2017-07-20 09:14:34
14,114.360569,30.527770,珞珈自强超市,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/,超市,2017-07-12 16:06:22,2017-07-20 09:14:28
17,114.360156,30.528364,信息学部学生宿舍3舍,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/,学生宿舍,2017-07-12 16:08:01,2017-07-20 09:14:21
18,114.360156,30.528653,信息学部学生宿舍4舍,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/,学生宿舍,2017-07-12 16:08:26,2017-07-20 09:14:12
19,114.360154,30.528974,信息学部学生宿舍5舍,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/星湖一路,学生宿舍,2017-07-12 16:09:11,2017-07-20 09:14:03
20,114.360636,30.529945,星湖学术交流中心,湖北省武汉市洪山区珞南街道武汉大学信息学部,求是二路/求是大道,酒店,2017-07-12 16:09:52,2017-07-20 09:13:53
